캠핑(야영)장명,캠핑(야영)장구분,위도,경도,주소,일반야영장수,자동차야영장,글램핑,카라반,화장실,샤워실,개수대,소화기,방화수,방화사,화재감지기,기타부대시설 1,기타부대시설 2,데이터기준일자,인허가일자,전화번호,영업상태,폐업일자,휴업시작일자,휴업종료일자,우편번호,지역구분,총층수,주변환경,보험기관,건물용도,지상층수,지하층수,객실수
팔미체험마을,일반야영장업,,,강원도 춘천시 신동면 설미길 218-21,,,,,,,,,,,,,,,2015-03-30,033-261-0134,폐업,2016-03-20,,,24411,자연녹지지역,,,,,,,
알프스밸리 캠핑장,일반야영장업,,,강원도 홍천군 화촌면 구룡령로 1016-29,,,,,,,,,,,,,,,2015-07-31,033-433-2332,폐업,2021-12-31,,,25159,관리지역,1,기타,,기타,1,,
외옹치마을해변야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-08-01,,폐업,,,,,,,기타,,,,,
속초해수욕장 제2캠핑장(야영장),일반야영장업,,,강원도 속초시 해오름로 140 (조양동),,,,,,,,,,,,,,,2017-06-29,033 6386231,폐업,,,,24887,자연녹지지역,,기타,,,,,
외옹치마을 해변야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-17,,폐업,,,,,자연녹지지역,,기타,,,,,
속초해수욕장 제2캠핑장(야영장),일반야영장업,,,강원도 속초시 해오름로 140 (조양동),,,,,,,,,,,,,,,2018-06-20,033 638 6231,폐업,,,,24887,,,,,,,,
외옹치마을 해변야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-18,,폐업,,,,,,,,,,,,
남이섬 제이드 캠핑,일반야영장업,,,강원도 춘천시 남산면 햇골길 62,,,,,,,,,,,,,,,2015-06-16,,폐업,,,,24464,,,,한화손해보험,,,,
강촌강변오토캠핑장,일반야영장업,,,강원도 춘천시 남산면 북한강변길 968,,,,,,,,,,,,,,,2016-02-11,,폐업,,,,24465,,,,,,,,
휘게리 잣나무숲 캠핑장,일반야영장업,,,강원도 홍천군 화촌면 구룡령로 1472-39,,,,,,,,,,,,,,,2017-07-18,,폐업,,,,25159,생산녹지지역,,기타,,,,,
체리블라썸야영장,일반야영장업,,,강원도 홍천군 서석면 음지항골길 147,,,,,,,,,,,,,,,2017-08-09,,폐업,,,,25165,보전녹지지역,2,기타,,단독주택,2,,
마대산장 캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2015-04-06,033-375-5114,폐업,,,,,,,,,,,,
고명야영캠핑장,일반야영장업,,,충청북도 제천시 고명로 197-10 (고명동),,,,,,,,,,,,,,,2018-12-31,436486690,폐업,,,,27134,,,,,,,,
송림캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-23,,폐업,,,,,,,,,,,,
청포아일랜드,일반야영장업,,,,,,,,,,,,,,,,,,2015-07-20,,폐업,,,,,관리지역,,기타,,,,,
솔밭관광농원야영장,일반야영장업,,,충청북도 괴산군 괴산읍 능촌로5길 39 (솔밭관광농원),,,,,,,,,,,,,,,2016-06-01,043 833 3222,폐업,,,,28023,관리지역,1,기타,,,1,,
언덕위에하얀집,일반야영장업,,,충청남도 태안군 남면 곰섬로 472,,,,,,,,,,,,,,,2018-02-28,,폐업,,,,32158,,,,,,,,
청포대비치캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2018-06-14,,폐업,,,,,관리지역,,기타,,,,,
오미리 농촌체험 관광협의회,일반야영장업,,,강원도 양구군 방산면 평화로 4818,,,,,,,,,,,,,,,2015-05-11,033-481-6403,폐업,,,,24504,관리지역,2,기타,,문화시설,,,
별장캠핑장,일반야영장업,,,충청북도 제천시 봉양읍 제원로 460,,,,,,,,,,,,,,,2015-08-04,,폐업,,,,27110,관리지역,,,,,,,
인구해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-20,,폐업,,,,,,,,,,,,
칠갑산계곡캠핑장,일반야영장업,,,충청남도 청양군 대치면 돌모로길 212-4,,,,,,,,,,,,,,,2018-03-19,041 943 7242,폐업,,,,33360,,,기타,,,,,
북분리해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-20,,폐업,,,,,,,,,,,,
설악해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-25,,폐업,,,,,,,,,,,,
제천오산오토캠핑장,일반야영장업,,,충청북도 제천시 봉양읍 논골로 201,,,,,,,,,,,,,,,2015-12-21,,폐업,,,,27119,,1,,,근린생활시설,1,,
세종연수원 캠핑장,일반야영장업,,,세종특별자치시 연서면 기와말1길 20,,,,,,,,,,,,,,,2015-07-27,,폐업,,,,30046,,,,,교육연구시설,,,
자개골캠핑장,일반야영장업,,,강원도 정선군 여량면 자개길 382-3,,,,,,,,,,,,,,,2015-06-16,,폐업,,,,26104,관리지역,1,기타,,기타,1,,
연포분교캠핑장,일반야영장업,,,강원도 정선군 신동읍 연포길 544-6,,,,,,,,,,,,,,,2015-07-01,,폐업,,,,26136,관리지역,1,기타,,기타,1,,
미스터박캠핑장,일반야영장업,,,강원도 정선군 여량면 노추산로 856,,,,,,,,,,,,,,,2015-07-17,,폐업,,,,26104,관리지역,1,기타,,기타,1,,
구절초마을캠핑장,일반야영장업,,,강원도 정선군 여량면 노추산로 794,,,,,,,,,,,,,,,2015-07-17,,폐업,,,,26104,관리지역,1,기타,,기타,1,,
화암동굴야영장,일반야영장업,,,강원도 정선군 화암면 화암동굴길 12-1,,,,,,,,,,,,,,,2015-07-28,,폐업,,,,26116,관리지역,1,기타,,기타,1,,
충주오지캠핑장,일반야영장업,,,충청북도 충주시 동량면 서운능골길 77,,,,,,,,,,,,,,,2015-07-03,438457090,폐업,,,,27323,관리지역,,기타,,,,,
월악산 공이동,일반야영장업,,,충청북도 충주시 살미면 공이송정2길 19,,,,,,,,,,,,,,,2015-07-10,438515558,폐업,,,,27491,관리지역,,,,,,,
(주)이글밸리스키리조트 야영장,일반야영장업,,,충청북도 충주시 수안보면 주정산로 203,,,,,,,,,,,,,,,2015-07-24,438463000,폐업,,,,27497,관리지역,,기타,,,,,
BFL 플레이파크(주),일반야영장업,,,충청북도 충주시 중앙탑면 중앙탑길 150 (탄금호조정경기장),,,,,,,,,,,,,,,2015-08-07,438421290,폐업,,,,27447,관리지역,,기타,,,,,
횡성 별빛마을 캠핑장,일반야영장업,,,강원도 횡성군 강림면 주천강로 488,,,,,,,,,,,,,,,2015-04-02,033-342-4586,폐업,,,,25272,,1,기타,,사무실,,,
매화오토캠핑장,일반야영장업,,,강원도 횡성군 안흥면 전재로 808-17,,,,,,,,,,,,,,,2015-04-30,,폐업,,,,25271,,,기타,,,,,
돌꽃캠핑장,일반야영장업,,,강원도 횡성군 서원면 서원서로102번길 3-16,,,,,,,,,,,,,,,2015-06-02,033-345-3336,폐업,,,,25202,관리지역,,,,,,,
두멍소관광농원,일반야영장업,,,,,,,,,,,,,,,,,,2015-06-25,,폐업,,,,,관리지역,1,,,근린생활시설,,,
흐르는강물처럼 펜션 야영장,일반야영장업,,,강원도 양양군 현북면 법수치길 293 (흐르는강물처럼),,,,,,,,,,,,,,,2016-08-11,033  6730941,폐업,,,,25050,관리지역,1,기타,,단독주택,,,
물치 해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
동호 해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
갯마을 해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
동산포 해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
동산 해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
아모레 퍼시픽 휴양지,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
인구 해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
정암해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
잔교리 해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
원포리해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
낙산해변야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
기사문리 해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
죽도해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
글램핑 스테이션,일반야영장업,,,충청북도 괴산군 칠성면 괴강로 354-14,,,,,,,,,,,,,,,2015-06-09,,폐업,,,,28017,관리지역,2,기타,,근린생활시설,2,,
하늘사랑야영장,일반야영장업,,,충청북도 괴산군 청천면 도경로후영4길 12 (하늘사랑야영장),,,,,,,,,,,,,,,2015-08-24,,폐업,,,,28060,관리지역,1,기타,,교육연구시설,1,,
성주산자연숲캠핑장,일반야영장업,,,충청남도 보령시 성주면 지게골길 101-153 (봉사관),,,,,,,,,,,,,,,2016-08-05,,폐업,,,,33486,,,,,,,,
모험레포츠연수원,일반야영장업,,,강원도 인제군 인제읍 원남로 1096-18,,,,,,,,,,,,,,,2015-07-15,033 461 3377,폐업,,,,24639,관리지역,,기타,,근린생활시설,,,
하조대 해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
북분리 해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-07,,폐업,,,,,,,,,,,,
광진리해수욕장야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-20,,폐업,,,,,,,,,,,,
행복밭예술가들,일반야영장업,,,강원도 양구군 양구읍 성곡로 849,,,,,,,,,,,,,,,2015-06-24,,폐업,,,,24514,관리지역,1,기타,,교육연구시설,1,,
더마루야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-03-03,,폐업,,,,,관리지역,,기타,,,,,
계룡산상신농촌체험휴양마을협의회,일반야영장업,,,충청남도 공주시 반포면 상하신길 396,,,,,,,,,,,,,,,2015-07-20,418521479,폐업,,,,32625,관리지역,1,기타,,기타,1,,
마곡사 힐링캠프,일반야영장업,,,충청남도 공주시 사곡면 말구리길 1,,,,,,,,,,,,,,,2015-08-26,,폐업,,,,32521,관리지역,2,기타,,근린생활시설,2,,
일월관광농원,일반야영장업,,,충청남도 공주시 이인면 산소골길 80,,,,,,,,,,,,,,,2015-12-31,,폐업,,,,32607,,1,,,단독주택,1,,
석수캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2016-03-04,841 9100,폐업,,,,,,1,기타,,근린생활시설,1,,
청포대카라반빌리지,일반야영장업,,,,,,,,,,,,,,,,,,2016-05-03,,폐업,,,,,관리지역,,,,,,,
평창쉼더하기글램핑파크,일반야영장업,,,강원도 평창군 용평면 금당길 133-27,,,,,,,,,,,,,,,2015-11-30,,폐업,,,,25317,주거지역,1,기타,,기타,1,0,
충주 탄금호 캠핑리조트,일반야영장업,,,,,,,,,,,,,,,,,,2017-04-12,,폐업,,,,,,,기타,농협손해보험,,,,
물치해수욕장 야영장,일반야영장업,,,강원도 양양군 강현면 동해대로 3552,,,,,,,,,,,,,,,2016-07-14,,폐업,,,,25000,관리지역,1,기타,,기타,,,
중광정리 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-06,,폐업,,,,,,,,,,,,
배론의아침,일반야영장업,,,충청북도 제천시 봉양읍 배론성지길 155,,,,,,,,,,,,,,,2015-06-02,,폐업,,,,27110,관리지역,,기타,,근린생활시설,,,
삼원그린힐스,일반야영장업,,,충청남도 서산시 팔봉면 진장서낭골길 204,,,,,,,,,,,,,,,2015-04-14,041-663-1111,폐업,,,,31925,관리지역,4,기타,,기타,4,1,
폰타나리조트,일반야영장업,,,충청남도 서산시 팔봉면 팔봉2로 29,,,,,,,,,,,,,,,2015-06-17,18001272,폐업,,,,31925,관리지역,,기타,,교육연구시설,1,,
용봉산글램핑,일반야영장업,,,충청남도 홍성군 홍북면 용봉산1길 15,,,,,,,,,,,,,,,2016-07-20,041-633-3739,폐업,,,,32251,관리지역,0,기타,한화손해보험,근린생활시설,0,0,0
캠프바베큐,일반야영장업,,,충청남도 천안시 동남구 무남길 18 (삼룡동),,,,,,,,,,,,,,,2015-05-22,041-552-0206,폐업,,,,31070,자연녹지지역,0,,,,0,0,0
풍경캠핑장,일반야영장업,,,충청남도 천안시 동남구 광덕면 해수길 178-56,,,,,,,,,,,,,,,2016-04-25,,폐업,,,,31220,,0,,,,0,0,0
태학산 자연휴양림 오토캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2017-08-30,041 521 5507,폐업,,,,,관리지역,0,기타,,,0,0,0
천안밤나무골 가족사랑 캠핑장,일반야영장업,,,충청남도 천안시 서북구 성거읍 보명사길 74-13,,,,,,,,,,,,,,,2017-09-05,,폐업,,,,31046,관리지역,0,,,,0,0,0
태백산소캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2015-05-15,,폐업,,,,,일반상업지역,,기타,,근린생활시설,,,
태백O2캠핑장,일반야영장업,,,강원도 태백시 서학로 861 (황지동),,,,,,,,,,,,,,,2015-07-17,,폐업,,,,26010,,,,,,,,
태백산 도립공원 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2015-07-31,033 550 2741,폐업,,,,,,,,,,,,
설악해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-26,,폐업,,,,,,,,,,,,
공간,일반야영장업,,,충청북도 단양군 가곡면 남한강로 1057,,,,,,,,,,,,,,,2015-03-06,043-422-8522,폐업,,,,27022,,,기타,,,,,
의풍분교 온달캠프장,일반야영장업,,,충청북도 단양군 영춘면 의풍2길 10-2,,,,,,,,,,,,,,,2015-05-11,043-421-1414,폐업,,,,27019,,,,,,,,
주주글램핑,일반야영장업,,,대전광역시 유성구 성북로 66-19 (방동),,,,,,,,,,,,,,,2015-07-13,423834747,폐업,,,,34205,자연녹지지역,,기타,,,,,
주식회사 라온서피리조트,일반야영장업,,,,,,,,,,,,,,,,,,2015-07-15,,폐업,,,,,관리지역,,기타,,,,,
태양과바다 야영장,일반야영장업,,,강원도 양양군 현남면 북죽로 110-37,,,,,,,,,,,,,,,2016-05-27,,폐업,,,,25052,관리지역,1,기타,,기타,,,
두창시변리마을회 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-06-14,,폐업,,,,,자연녹지지역,1,기타,,기타,1,,
동호해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-06-14,033 672 9797,폐업,,,,,,1,기타,,기타,,,
잔교리해수욕장 푸른바다야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-06-20,,폐업,,,,,관리지역,1,기타,,기타,1,,
하조대해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-07,,폐업,,,,,관리지역,,기타,,기타,1,,
오산해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-07,,폐업,,,,,관리지역,1,기타,,기타,1,,
중광정리해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-07,,폐업,,,,,관리지역,1,기타,,기타,1,,
정암해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-07,,폐업,,,,,관리지역,1,기타,,기타,1,,
기사문 38야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-14,,폐업,,,,,관리지역,1,기타,,기타,1,,
북분해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-19,,폐업,,,,,,,,,,,,
동산해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-19,,폐업,,,,,,,,,,,,
갯마을해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-10,,폐업,,,,,,,,,,,,
낙산해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-06,,폐업,,,,,,,,,,,,
하조대해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-06,,폐업,,,,,,,,,,,,
동산포해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-19,,폐업,,,,,,,,,,,,
인구해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-19,,폐업,,,,,,,,,,,,
광진해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-19,,폐업,,,,,,,,,,,,
갯마을해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-19,,폐업,,,,,,,,,,,,
원포해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-19,,폐업,,,,,,,,,,,,
남애1리 솔밭야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-19,,폐업,,,,,,,,,,,,
지경해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-19,,폐업,,,,,,1,기타,,기타,1,,
남애3리해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-19,,폐업,,,,,,,,,,,,
설악해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-26,,폐업,,,,,,,,,,,,
남애1리해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-16,,폐업,,,,,,,,,,,,
남애3리해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-16,,폐업,,,,,,,,,,,,
동호해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-16,,폐업,,,,,,,,,,,,
물치해수욕장 야영장,일반야영장업,,,강원도 양양군 강현면 동해대로 3552,,,,,,,,,,,,,,,2018-07-16,,폐업,,,,,,,,,,,,
광진리해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-16,,폐업,,,,,,,,,,,,
정암리해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-18,,폐업,,,,,,,,,,,,
잔교리해수욕장 야영장,일반야영장업,,,강원도 양양군 현북면 동해대로 1080,,,,,,,,,,,,,,,2018-07-18,,폐업,,,,,,,,,,,,
기사문해수욕장 야영장,일반야영장업,,,강원도 양양군 현북면 기사문길 8,,,,,,,,,,,,,,,2018-07-20,,폐업,,,,,,,,,,,,
동산포해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-20,,폐업,,,,,,,,,,,,
엘리시아,일반야영장업,,,충청남도 청양군 대치면 까치내로 1067-81,,,,,,,,,,,,,,,2017-02-28,,폐업,,,,33360,생산녹지지역,,기타,,,,,
동산해수욕장 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-20,,폐업,,,,,,,,,,,,
바다글램핑,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-05,,폐업,,,,,관리지역,,,,,,,
흥정계곡캠핑장,일반야영장업,,,강원도 평창군 봉평면 흥정계곡길 11,,,,,,,,,,,,,,,2017-06-09,,폐업,,,,25302,,,,,,,,
원포리해수욕장 야영장,일반야영장업,,,강원도 양양군 현남면 동해대로 232,,,,,,,,,,,,,,,2018-07-18,,폐업,,,,,,,,,,,,
천리포캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2019-07-08,,취소/말소/만료/정지/중지,,,,,관리지역,,,,,,,
연포제1야영장,일반야영장업,,,,,,,,,,,,,,,,,,2019-06-27,,취소/말소/만료/정지/중지,,,,,,,,,,,,
꾸지나무해수욕장야영장,일반야영장업,,,,,,,,,,,,,,,,,,2019-07-04,,취소/말소/만료/정지/중지,,,,,,,,,,,,
웨스턴백사장오토캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2020-05-07,,취소/말소/만료/정지/중지,,,,,,,,,,,,
연포야영장,일반야영장업,,,,,,,,,,,,,,,,,,2020-05-28,,취소/말소/만료/정지/중지,,,,,,,,,,,,
꾸지나무골해수욕장번영회야영장,일반야영장업,,,,,,,,,,,,,,,,,,2020-07-17,,취소/말소/만료/정지/중지,,,,,,,,,,,,
장구도어촌계야영장,일반야영장업,,,충청남도 태안군 이원면 꾸지나무길 81-17,,,,,,,,,,,,,,,2021-08-03,,취소/말소/만료/정지/중지,,,,32100,관리지역,0,,,,0,0,0
웨스턴백사장오토캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2021-05-07,,취소/말소/만료/정지/중지,,,,,,0,,,,0,0,0
구름포솔밭야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-08-16,,취소/말소/만료/정지/중지,,,,,보전녹지지역,0,,,,0,0,0
장구도어촌계야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-28,,취소/말소/만료/정지/중지,,,,,관리지역,0,,,,0,0,0
서해바다캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-29,,취소/말소/만료/정지/중지,,,,,주거지역,0,,,,0,0,0
중앙캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2022-08-29,,취소/말소/만료/정지/중지,,,,,,0,,,,0,0,0
석갱이오토캠핑장2,일반야영장업,,,,,,,,,,,,,,,,,,2022-08-29,,취소/말소/만료/정지/중지,,,,,,0,,,,0,0,0
웨스턴야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-08-09,,취소/말소/만료/정지/중지,,,,,,0,,,,0,0,0
청포대쥬라기,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-15,,취소/말소/만료/정지/중지,,,,,관리지역,0,기타,,,0,0,0
마검포힐링캠핑장-A,일반야영장업,,,,,,,,,,,,,,,,,,2022-08-12,,취소/말소/만료/정지/중지,,,,,보전녹지지역,0,,,,0,0,0
청포대오토캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-07,,취소/말소/만료/정지/중지,,,,,,,,,,,,
몽산포베네치아야영장,일반야영장업,,,충청남도 태안군 남면 몽산포길 67-41,,,,,,,,,,,,,,,2017-07-07,,취소/말소/만료/정지/중지,,,,32153,,,,,,,,
샛별글램핑,일반야영장업,,,충청남도 태안군 안면읍 샛별길 238-10,,,,,,,,,,,,,,,2017-07-17,,취소/말소/만료/정지/중지,,,,32169,,,,,,,,
몽산포오토캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-18,,취소/말소/만료/정지/중지,,,,,,,,,,,,
청포대캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-23,,취소/말소/만료/정지/중지,,,,,,,,,,,,
청포대글램핑,일반야영장업,,,충청남도 태안군 남면 청포대길 57-6,,,,,,,,,,,,,,,2017-07-24,,취소/말소/만료/정지/중지,,,,32157,,,,,,,,
마린캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2017-07-25,,취소/말소/만료/정지/중지,,,,,,,,,,,,
연포해수욕장제1야영장,일반야영장업,,,,,,,,,,,,,,,,,,2017-08-01,,취소/말소/만료/정지/중지,,,,,,,,,,,,
몽산포해변캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2017-08-01,,취소/말소/만료/정지/중지,,,,,,,,,,,,
파도캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2017-08-07,,취소/말소/만료/정지/중지,,,,,,,,,,,,
몽산포오션캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2017-08-14,,취소/말소/만료/정지/중지,,,,,,,,,,,,
백사장웨스턴오토캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2017-10-17,,취소/말소/만료/정지/중지,,,,,,,,,,,,
연포제1야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-06-21,,취소/말소/만료/정지/중지,,,,,관리지역,,,,,,,
민스야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-06-26,,취소/말소/만료/정지/중지,,,,,관리지역,,,,,,,
몽산포오션캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-03,,취소/말소/만료/정지/중지,,,,,관리지역,,,,,,,
장삼포해수욕장야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-13,,취소/말소/만료/정지/중지,,,,,관리지역,,,,,,,
기지포번영회야영장,일반야영장업,,,충청남도 태안군 안면읍 해안관광로 745-20 (공중화장실),,,,,,,,,,,,,,,2016-07-27,416735127,취소/말소/만료/정지/중지,,,,32162,,,,,,,,
연포해수욕장번영회제2야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-27,416740909,취소/말소/만료/정지/중지,,,,,,,,,,,,
몽산포베네치아,일반야영장업,,,충청남도 태안군 남면 몽산포길 67-41,,,,,,,,,,,,,,,2016-07-29,,취소/말소/만료/정지/중지,,,,32153,,,,,,,,
꾸지나무골해수욕장야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-17,,취소/말소/만료/정지/중지,,,,,관리지역,0,,,,0,0,0
청포대캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-23,,취소/말소/만료/정지/중지,,,,,관리지역,,,,,,,
몽산포오토5구역,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-24,,취소/말소/만료/정지/중지,,,,,관리지역,,,,,,,
꿈꾸는캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-24,,취소/말소/만료/정지/중지,,,,,관리지역,,,,,,,
청포대글램핑,일반야영장업,,,,,,,,,,,,,,,,,,2018-08-03,,취소/말소/만료/정지/중지,,,,,관리지역,,,,,,,
백사장아일랜드캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-29,416727644,취소/말소/만료/정지/중지,,,,,,,,,,,,
두몽골야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-29,,취소/말소/만료/정지/중지,,,,,,,,,,,,
대명야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-07-29,,취소/말소/만료/정지/중지,,,,,,,,,,,,
구례포중앙야영장,일반야영장업,,,충청남도 태안군 원북면 구례포길 47-20,,,,,,,,,,,,,,,2016-07-29,,취소/말소/만료/정지/중지,,,,32106,,,,,,,,
해송야영장,일반야영장업,,,충청남도 태안군 남면 몽산포길 99-12,,,,,,,,,,,,,,,2016-08-02,,취소/말소/만료/정지/중지,,,,32153,,,,,,,,
소암해변야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-08-03,,취소/말소/만료/정지/중지,,,,,,,,,,,,
지오랜드캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2016-08-03,,취소/말소/만료/정지/중지,,,,,,,,,,,,
마검포솔밭캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2016-08-05,,취소/말소/만료/정지/중지,,,,,,,,,,,,
청포대송림캠핑장,일반야영장업,,,충청남도 태안군 남면 청포대길 32-8,,,,,,,,,,,,,,,2017-07-06,416746654,취소/말소/만료/정지/중지,,,,32157,,,기타,,,,,
구름포글램핑캠핑장,일반야영장업,,,충청남도 태안군 소원면 구름포길 120,,,,,,,,,,,,,,,2017-07-06,,취소/말소/만료/정지/중지,,,,32121,관리지역,,기타,,,,,
그림나래힐링캠프,일반야영장업,,,충청남도 태안군 근흥면 궁틀길 62-51,,,,,,,,,,,,,,,2016-06-20,,취소/말소/만료/정지/중지,,,,32129,관리지역,,,,,,,
몽산포 오션 캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2016-06-21,,취소/말소/만료/정지/중지,,,,,관리지역,,,,,,,
센티마르야영장,일반야영장업,,,,,,,,,,,,,,,,,,2016-06-23,,취소/말소/만료/정지/중지,,,,,,,,,,,,
몽산포로타리캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2016-06-27,,취소/말소/만료/정지/중지,,,,,,,,,,,,
몽산포청솔야영장,일반야영장업,,,충청남도 태안군 남면 몽산포길 99-20,,,,,,,,,,,,,,,2016-06-28,,취소/말소/만료/정지/중지,,,,32152,,,,,,,,
